file_path,language,extension,loc,size_bytes
sklearn/cross_decomposition/__init__.py,Python,.py,8,279
sklearn/datasets/_arff_parser.py,Python,.py,544,19813
sklearn/datasets/_base.py,Python,.py,1649,55775
sklearn/datasets/_california_housing.py,Python,.py,246,7483
sklearn/datasets/_covtype.py,Python,.py,252,8370
sklearn/datasets/_kddcup99.py,Python,.py,426,14291
sklearn/datasets/_lfw.py,Python,.py,654,23335
sklearn/datasets/_olivetti_faces.py,Python,.py,187,6259
sklearn/datasets/_openml.py,Python,.py,1190,44210
sklearn/datasets/_rcv1.py,Python,.py,341,12396
sklearn/datasets/_samples_generator.py,Python,.py,2390,79603
sklearn/datasets/_species_distributions.py,Python,.py,287,9669
sklearn/datasets/_svmlight_format_fast.pyx,Cython,.pyx,251,7404
sklearn/datasets/_svmlight_format_io.py,Python,.py,591,21560
sklearn/datasets/_twenty_newsgroups.py,Python,.py,625,21492
sklearn/datasets/__init__.py,Python,.py,169,5560
sklearn/decomposition/_base.py,Python,.py,219,7702
sklearn/decomposition/_cdnmf_fast.pyx,Cython,.pyx,38,1166
sklearn/decomposition/_dict_learning.py,Python,.py,2341,81034
sklearn/decomposition/_factor_analysis.py,Python,.py,457,15738
sklearn/decomposition/_fastica.py,Python,.py,812,27380
sklearn/decomposition/_incremental_pca.py,Python,.py,423,16756
sklearn/decomposition/_kernel_pca.py,Python,.py,579,23230
sklearn/decomposition/_lda.py,Python,.py,956,35171
sklearn/decomposition/_nmf.py,Python,.py,2404,84039
sklearn/decomposition/_online_lda_fast.pyx,Cython,.pyx,110,2958
sklearn/decomposition/_pca.py,Python,.py,834,34244
sklearn/decomposition/_sparse_pca.py,Python,.py,551,18537
sklearn/decomposition/_truncated_svd.py,Python,.py,322,12070
sklearn/decomposition/__init__.py,Python,.py,50,1574
sklearn/ensemble/_bagging.py,Python,.py,1480,54384
sklearn/ensemble/_base.py,Python,.py,313,10917
sklearn/ensemble/_bootstrap.py,Python,.py,69,2658
sklearn/ensemble/_forest.py,Python,.py,3093,122995
sklearn/ensemble/_gb.py,Python,.py,2191,88598
sklearn/ensemble/_gradient_boosting.pyx,Cython,.pyx,262,8849
sklearn/ensemble/_iforest.py,Python,.py,680,25197
sklearn/ensemble/_stacking.py,Python,.py,1145,44649
sklearn/ensemble/_voting.py,Python,.py,738,25960
sklearn/ensemble/_weight_boosting.py,Python,.py,1130,40870
sklearn/ensemble/__init__.py,Python,.py,45,1563
sklearn/experimental/enable_halving_search_cv.py,Python,.py,35,1338
sklearn/experimental/enable_hist_gradient_boosting.py,Python,.py,24,852
sklearn/experimental/enable_iterative_imputer.py,Python,.py,23,779
sklearn/experimental/__init__.py,Python,.py,10,315
sklearn/externals/conftest.py,Python,.py,6,318
sklearn/externals/_arff.py,Python,.py,1107,39476
sklearn/externals/_array_api_compat_vendor.py,Python,.py,5,203
sklearn/externals/__init__.py,Python,.py,5,47
sklearn/feature_extraction/image.py,Python,.py,692,24372
sklearn/feature_extraction/text.py,Python,.py,2142,79590
sklearn/feature_extraction/_dict_vectorizer.py,Python,.py,457,16522
sklearn/feature_extraction/_hash.py,Python,.py,208,8117
sklearn/feature_extraction/_hashing_fast.pyx,Cython,.pyx,89,3134
sklearn/feature_extraction/_stop_words.py,Python,.py,328,6053
sklearn/feature_extraction/__init__.py,Python,.py,18,517
sklearn/feature_selection/_base.py,Python,.py,275,10074
sklearn/feature_selection/_from_model.py,Python,.py,519,19603
sklearn/feature_selection/_mutual_info.py,Python,.py,580,20596
sklearn/feature_selection/_rfe.py,Python,.py,1018,38193
sklearn/feature_selection/_sequential.py,Python,.py,369,14343
sklearn/feature_selection/_univariate_selection.py,Python,.py,1171,41967
sklearn/feature_selection/_variance_threshold.py,Python,.py,141,4829
sklearn/feature_selection/__init__.py,Python,.py,53,1369
sklearn/frozen/_frozen.py,Python,.py,166,5153
sklearn/frozen/__init__.py,Python,.py,6,168
sklearn/gaussian_process/kernels.py,Python,.py,2413,87724
sklearn/gaussian_process/_gpc.py,Python,.py,973,40360
sklearn/gaussian_process/_gpr.py,Python,.py,679,28960
sklearn/gaussian_process/__init__.py,Python,.py,10,411
sklearn/impute/_base.py,Python,.py,1149,44039
sklearn/impute/_iterative.py,Python,.py,995,39450
sklearn/impute/_knn.py,Python,.py,411,15378
sklearn/impute/__init__.py,Python,.py,10,386
sklearn/inspection/_partial_dependence.py,Python,.py,773,34040
sklearn/inspection/_pd_utils.py,Python,.py,68,2286
sklearn/inspection/_permutation_importance.py,Python,.py,313,11745
sklearn/inspection/__init__.py,Python,.py,16,573
sklearn/linear_model/_base.py,Python,.py,928,31976
sklearn/linear_model/_bayes.py,Python,.py,826,29891
sklearn/linear_model/_cd_fast.pyx,Cython,.pyx,2164,77892
sklearn/linear_model/_coordinate_descent.py,Python,.py,3456,124167
