token_1,token_2,similarity
path,selection,0.25605694232907256
pytest,externals,0.25436484054375613
/__,benchmarks,0.2523494916293816
response,dependencies,0.2422628690231048
an,pytest,0.23053795692895102
examples,testing,0.22371803867822257
py,plot,0.21944525700300388
utils,ensemble,0.21018145307433186
sklearn,benchmarks,0.20656596627935253
003,security,0.20486844027955528
