token_1,token_2,original_similarity,improved_similarity,change
_,/,0.029606564996795766,0.053989370649519114,0.024382805652723348
_,py,0.02885585204560142,-0.018851225643445876,-0.04770707768904729
_,.,-0.1738163259148332,-0.16095855340755247,0.012857772507280735
_,test,0.19207038982687952,0.1391221314729081,-0.052948258353971406
_,tests,-0.05540645659862934,-0.0646522206382334,-0.009245764039604067
_,tutorial,-0.029143925164529755,-0.09941278210122269,-0.07026885693669294
_,sklearn,-0.016204201181331743,-0.05594391589423296,-0.03973971471290122
_,src,0.004106500567122672,-0.01364843011865413,-0.017754930685776802
_,/_,-0.005178418868950113,0.1048061423244119,0.10998456119336202
_,docs,-0.023528128689068034,-0.04266905299292839,-0.019140924303860357
_,310,0.024842174055790107,0.032394649191607325,0.007552475135817218
_,init,0.040327908483242886,0.025925337395813083,-0.014402571087429802
_,__.,-0.07507691187436055,0.028960497463765753,0.1040374093381263
_,/__,0.04788416593590608,0.1603010669635165,0.11241690102761043
_,plot,-0.07053067602184054,-0.07664706364758682,-0.006116387625746275
_,examples,-0.06116014826145978,-0.09490833716143302,-0.03374818889997323
_,testing,0.028695650507905582,0.007024741056424953,-0.02167090945148063
_,001,-0.008761851822948809,-0.012727264131084052,-0.003965412308135243
_,params,-0.23775347107350203,-0.21647595248551843,0.0212775185879836
_,model,-0.09487082595192815,-0.10866651509955243,-0.013795689147624274
_,utils,-0.12447474397333515,-0.12035218502665487,0.004122558946680274
_,scripts,-0.11095073675312632,-0.14841940748551294,-0.03746867073238662
_,response,0.016263216245547538,-0.026853935656154196,-0.043117151901701734
_,an,0.18445933973401804,0.11604421741766885,-0.06841512231634919
_,002,0.04144506246022252,0.059077673983050076,0.01763261152282756
_,example,-0.003187003402262706,-0.020797205754548895,-0.017610202352286188
_,request,0.057012632310491085,0.006399630732078653,-0.050613001578412434
_,003,-0.050332269164732504,-0.04099865738920157,0.009333611775530937
_,pytest,0.02868519600839277,-0.019713839016901477,-0.048399035025294246
_,linear,0.10634585000598819,0.010376741838185908,-0.09596910816780228
_,query,-0.09916646913398776,-0.11257451640224471,-0.01340804726825695
_,path,0.044666015933371,0.007982384724581407,-0.03668363120878959
_,cluster,0.06602182259946078,0.012103464340438195,-0.05391835825902259
_,api,-0.036724828473050204,-0.04604346597465131,-0.009318637501601106
_,body,-0.0008437166675445718,0.006666813201579721,0.0075105298691242935
_,benchmarks,-0.11171887223540998,-0.09747324328595679,0.014245628949453193
_,externals,0.11125841070538726,0.024757852758304895,-0.08650055794708236
_,models,0.17128337543590882,0.13285988837153018,-0.03842348706437865
_,app,-0.001831706318145981,-0.009883245193629368,-0.008051538875483388
_,array,-0.12269750028227545,-0.13480035987328473,-0.012102859591009277
_,ensemble,-0.0494121783485653,-0.0478458008258287,0.0015663775227366047
_,security,-0.06008511034277801,-0.09050361632063392,-0.030418505977855906
_,selection,-0.07625688641695245,-0.0834754690612462,-0.0072185826442937445
_,extra,-0.09412853499217148,-0.11322665619158585,-0.01909812119941437
_,validations,-0.10304235867814011,-0.11912583194886374,-0.016083473270723625
_,str,0.18583348677504627,0.13033240920871497,-0.0555010775663313
_,custom,-0.014236480201255161,-0.03719835460595821,-0.02296187440470305
_,dependencies,0.009672411826975027,-0.015886649882759975,-0.025559061709735
_,fixtures,-0.13487348032299024,-0.1381630893822206,-0.0032896090592303695
/,py,-0.039066559331792206,-0.043144673364693374,-0.004078114032901169
/,.,-0.046769221867905636,-0.03162381332011837,0.015145408547787266
/,test,0.04598652869585271,0.059624531714581964,0.013638003018729257
/,tests,-0.07193569478103462,-0.04210810587991977,0.02982758890111485
/,tutorial,-0.07005019427824681,-0.07946638962443144,-0.009416195346184625
/,sklearn,-0.1930598856032875,-0.18107212657610172,0.011987759027185768
/,src,-0.08567653599981456,-0.08844241898843226,-0.002765882988617699
/,/_,0.08884996008656008,0.20448910831788666,0.11563914823132658
/,docs,0.05499371042435295,0.0527595881119159,-0.0022341223124370466
/,310,0.03977989600815616,0.0479907134048999,0.008210817396743744
/,init,0.013233205344010741,0.017113661765287076,0.003880456421276334
/,__.,0.15934274607112067,0.16964657416746987,0.010303828096349193
/,/__,-0.024840114610935864,0.10281034793227388,0.12765046254320975
/,plot,-0.04853305468875087,-0.06006849432541012,-0.011535439636659255
/,examples,0.09120460593698275,0.02861478265391426,-0.06258982328306849
/,testing,0.03138349992188339,-0.003185438632052513,-0.034568938553935905
/,001,-0.08423705347243986,-0.08520279264265765,-0.0009657391702177914
/,params,-0.03446922195805765,-0.0514759978872716,-0.01700677592921395
/,model,-0.0325660329607923,-0.03755221830449556,-0.0049861853437032574
/,utils,0.05907924431453687,0.04788606511704201,-0.011193179197494858
/,scripts,0.02986232797015921,0.007724781746568627,-0.022137546223590585
/,response,-0.14348227290572638,-0.14019282384149284,0.003289449064233535
/,an,-0.040309793153967315,-0.07480438877353773,-0.03449459561957042
/,002,0.0008909453412779923,0.013074866785695955,0.012183921444417963
/,example,0.02664790612441095,-0.004542730162861663,-0.031190636287272613
/,request,-0.014628582945062371,-0.033288430922228086,-0.018659847977165717
/,003,0.006954883844114764,0.0037522314310934487,-0.003202652413021315
/,pytest,0.07713508081890592,0.03541006423609867,-0.04172501658280725
/,linear,-0.0514866196990474,-0.07167320354602814,-0.020186583846980743
/,query,-0.046344972816292324,-0.056047759701531405,-0.009702786885239081
/,path,-0.12525480299076977,-0.14511827177184536,-0.01986346878107559
/,cluster,-0.09090430675837667,-0.09481358491643466,-0.0039092781580579855
/,api,0.11360825151869139,0.07860316009680948,-0.035005091421881906
/,body,0.05778183616360335,0.0662546683400638,0.00847283217646045
/,benchmarks,-0.0008264288494498358,-0.04177347795428284,-0.040947049104833
/,externals,0.03380526550604884,-0.038297302449771725,-0.07210256795582057
/,models,0.10404257419841499,0.09072905980020632,-0.013313514398208673
/,app,-0.11494146098581182,-0.12560020658661242,-0.010658745600800601
/,array,0.0024601901102142233,-0.02438915343148681,-0.026849343541701032
/,ensemble,-0.017834280622984554,-0.04631700559655932,-0.028482724973574763
/,security,0.13915514617359462,0.08088377090999256,-0.05827137526360206
/,selection,0.05412650783807349,0.016082343106830186,-0.03804416473124331
/,extra,-0.0374095118545949,-0.06575461546016659,-0.028345103605571687
/,validations,-0.005061980601795659,-0.03158264025807906,-0.0265206596562834
/,str,-0.052041113622064525,-0.060082935819133564,-0.008041822197069039
/,custom,0.14492682851662442,0.12106173870152052,-0.023865089815103893
/,dependencies,-0.06155003313270662,-0.06156317885642732,-1.3145723720700553e-05
/,fixtures,0.08279021660131768,0.04872119905491083,-0.03406901754640684
py,.,-0.004124682313542217,0.02772630864010953,0.031850990953651744
py,test,0.028028575000415553,0.06046480138364873,0.03243622638323318
py,tests,0.03948882251700786,0.10836543535399953,0.06887661283699167
py,tutorial,-0.013198526572909637,0.08869626317539137,0.101894789748301
py,sklearn,-0.016074346425882735,0.04260947003331014,0.05868381645919288
py,src,0.06801599190690938,0.09039872610415738,0.022382734197247997
py,/_,-0.01874916906979093,-0.018462519595766873,0.00028664947402405605
py,docs,0.15270789810888577,0.1561952424197869,0.0034873443109011415
py,310,-0.07049568444430727,-0.1087640415751463,-0.03826835713083902
py,init,-0.15655101478099778,-0.12968626887555418,0.026864745905443604
py,__.,0.1373057848484761,0.14017981969711113,0.002874034848635021
py,/__,-0.0522084075979687,-0.025554352522365303,0.026654055075603398
py,plot,0.21944525700300388,0.29943890061794926,0.07999364361494538
py,examples,0.07532956486803238,0.23556241600348432,0.16023285113545194
py,testing,-0.1519613177629302,-0.12460064291472848,0.02736067484820172
py,001,-0.03737868829449459,-0.03462280128493823,0.002755887009556361
py,params,-0.03700399294840984,0.15668238508251642,0.19368637803092625
py,model,0.010567164614161368,0.037675720610806075,0.027108555996644707
py,utils,-0.08744247389722698,-0.06218790995460264,0.02525456394262434
py,scripts,0.04419663282698638,0.22675000749106064,0.18255337466407426
py,response,-0.08709921832458811,0.14135116556257393,0.22845038388716205
py,an,0.0107495253542811,0.07672098334393405,0.06597145798965295
py,002,-0.031567376702818076,-0.03818376790210888,-0.006616391199290805
py,example,-0.036885106276117206,0.12560668157435387,0.16249178785047108
py,request,-0.10174923200742668,0.009480023365205762,0.11122925537263244
py,003,-0.03192842994178142,-0.007631558465976783,0.024296871475804636
py,pytest,-0.09114315339332499,0.12279273945962021,0.2139358928529452
py,linear,-0.10515117207495987,-0.01053446690230136,0.09461670517265851
py,query,-0.03903324094339536,0.11398493732669811,0.15301817827009345
py,path,0.04178381259752543,0.20116271294140298,0.15937890034387756
py,cluster,0.13487741774295745,0.2110499463915077,0.07617252864855026
py,api,0.015607062114123762,0.1497914776231587,0.13418441550903493
py,body,0.08401260129677932,0.17132989557408582,0.0873172942773065
py,benchmarks,0.024920131929638198,0.18805796790317816,0.16313783597353998
py,externals,0.018293083424211702,0.13959882186961775,0.12130573844540604
py,models,-0.10024653364814634,-0.0005788698460623238,0.09966766380208401
py,app,-0.06985428471573882,0.12987998969426282,0.19973427441000163
py,array,0.023555659474845763,0.2023586174725745,0.17880295799772875
py,ensemble,-0.013076775821077708,0.01759691138651647,0.03067368720759418
py,security,0.058010436162775465,0.2308695423533882,0.17285910619061273
py,selection,0.027940862211047194,0.16833092858117066,0.14039006637012347
py,extra,-0.009254655139600236,0.08619505304997765,0.09544970818957789
py,validations,-0.1316133544187848,-0.00032990608758271396,0.1312834483312021
py,str,0.03840911467723018,0.05692926305379782,0.01852014837656764
py,custom,0.12150643440278819,0.20113244025328994,0.07962600585050175
py,dependencies,-0.06716790617935771,0.15495604417002262,0.22212395034938032
py,fixtures,-0.06739218891538591,0.0328272043323502,0.10021939324773611
.,test,0.09613835073419517,0.08878226260546754,-0.007356088128727636
.,tests,0.048365898364111225,0.05324003238965904,0.004874134025547816
.,tutorial,-0.09936066340131816,-0.028051771787685587,0.07130889161363257
.,sklearn,-0.13194980401291054,-0.07685184392137155,0.055097960091538986
.,src,-0.061260599665956574,-0.04202132191270531,0.019239277753251266
.,/_,0.10419790374289949,0.09768770816098486,-0.006510195581914624
.,docs,0.09280088351158254,0.08477477104884136,-0.00802611246274118
.,310,0.045442984620965216,0.05278379008133633,0.007340805460371115
.,init,-0.08338593797368114,-0.08468921629586364,-0.001303278322182494
.,__.,0.02047525833417705,0.1268548923157251,0.10637963398154807
.,/__,0.06809512959937919,0.06936831274606652,0.0012731831466873261
.,plot,-0.03641463674759196,-0.030535060736156184,0.005879576011435777
.,examples,0.043292713831410784,-0.001037818673463033,-0.044330532504873815
.,testing,-0.032256655684535465,-0.03459393027489393,-0.002337274590358464
.,001,0.13224697890403203,0.1410023455337787,0.008755366629746658
.,params,0.12394982532209478,0.10940421550123425,-0.014545609820860533
.,model,-0.016240003411305857,-0.04169402778644514,-0.025454024375139283
.,utils,0.013476885751503315,0.01037650011422125,-0.0031003856372820646
.,scripts,-0.06371527606257556,-0.03483715051330989,0.028878125549265665
.,response,0.007563299993975018,0.02036263832095615,0.012799338326981132
.,an,0.045409311532101426,0.02434883036028346,-0.021060481171817965
.,002,0.03503605245857608,0.05041612879322187,0.01538007633464579
.,example,-0.07078689482139804,-0.07335161218065522,-0.0025647173592571876
.,request,-0.009208182149741308,0.014075782012085163,0.023283964161826473
.,003,0.07472683986839296,0.0925770597072642,0.017850219838871237
.,pytest,0.0715293785505249,0.06458220517739308,-0.006947173373131818
